==== 3D Bin Packing Problem Test Cases ====

==== Number of Items: 50 ====
---- Test Type: 1 : 100 100 100 ----
Test 1 (Type 1, n=50)
Item-Item3D-100: [W=19, H=93, L=91]
Item-Item3D-101: [W=77, H=83, L=77]
Item-Item3D-102: [W=5, H=46, L=99]
Item-Item3D-103: [W=25, H=18, L=58]
Item-Item3D-104: [W=1, H=37, L=60]
Item-Item3D-105: [W=46, H=16, L=50]
Item-Item3D-106: [W=44, H=20, L=63]
Item-Item3D-107: [W=95, H=78, L=86]
Item-Item3D-108: [W=80, H=4, L=95]
Item-Item3D-109: [W=87, H=44, L=86]
Item-Item3D-110: [W=55, H=79, L=60]
Item-Item3D-111: [W=19, H=97, L=12]
Item-Item3D-112: [W=95, H=48, L=39]
Item-Item3D-113: [W=10, H=72, L=55]
Item-Item3D-114: [W=90, H=35, L=4]
Item-Item3D-115: [W=62, H=27, L=33]
Item-Item3D-116: [W=55, H=25, L=39]
Item-Item3D-117: [W=69, H=41, L=12]
Item-Item3D-118: [W=59, H=52, L=40]
Item-Item3D-119: [W=35, H=52, L=3]
Item-Item3D-120: [W=26, H=64, L=22]
Item-Item3D-121: [W=58, H=37, L=91]
Item-Item3D-122: [W=91, H=40, L=89]
Item-Item3D-123: [W=26, H=89, L=50]
Item-Item3D-124: [W=24, H=11, L=26]
Item-Item3D-125: [W=7, H=53, L=48]
Item-Item3D-126: [W=41, H=60, L=83]
Item-Item3D-127: [W=36, H=15, L=1]
Item-Item3D-128: [W=54, H=19, L=90]
Item-Item3D-129: [W=51, H=77, L=86]
Item-Item3D-130: [W=54, H=91, L=89]
Item-Item3D-131: [W=23, H=36, L=82]
Item-Item3D-132: [W=27, H=19, L=98]
Item-Item3D-133: [W=64, H=61, L=33]
Item-Item3D-134: [W=38, H=84, L=3]
Item-Item3D-135: [W=100, H=23, L=9]
Item-Item3D-136: [W=57, H=5, L=78]
Item-Item3D-137: [W=57, H=13, L=7]
Item-Item3D-138: [W=53, H=77, L=13]
Item-Item3D-139: [W=4, H=7, L=83]
Item-Item3D-140: [W=3, H=33, L=79]
Item-Item3D-141: [W=37, H=87, L=96]
Item-Item3D-142: [W=8, H=13, L=45]
Item-Item3D-143: [W=84, H=56, L=42]
Item-Item3D-144: [W=95, H=9, L=11]
Item-Item3D-145: [W=75, H=24, L=71]
Item-Item3D-146: [W=89, H=77, L=80]
Item-Item3D-147: [W=56, H=29, L=78]
Item-Item3D-148: [W=51, H=76, L=11]
Item-Item3D-149: [W=41, H=38, L=70]
Item-Item3D-150: [W=80, H=32, L=47]

Test 2 (Type 8, n=150)
Item-Item3D-1: [W=75, H=82, L=32]
Item-Item3D-2: [W=72, H=75, L=29]
Item-Item3D-3: [W=63, H=82, L=10]
Item-Item3D-4: [W=40, H=68, L=41]
Item-Item3D-5: [W=15, H=83, L=7]
Item-Item3D-6: [W=77, H=90, L=48]
Item-Item3D-7: [W=87, H=87, L=88]
Item-Item3D-8: [W=52, H=21, L=29]
Item-Item3D-9: [W=40, H=62, L=5]
Item-Item3D-10: [W=58, H=84, L=61]
Item-Item3D-11: [W=99, H=21, L=60]
Item-Item3D-12: [W=60, H=71, L=52]
Item-Item3D-13: [W=67, H=59, L=26]
Item-Item3D-14: [W=66, H=21, L=46]
Item-Item3D-15: [W=76, H=83, L=49]
Item-Item3D-16: [W=70, H=73, L=92]
Item-Item3D-17: [W=79, H=97, L=47]
Item-Item3D-18: [W=35, H=74, L=38]
Item-Item3D-19: [W=23, H=25, L=8]
Item-Item3D-20: [W=17, H=14, L=81]
Item-Item3D-21: [W=52, H=16, L=67]
Item-Item3D-22: [W=54, H=92, L=87]
Item-Item3D-23: [W=75, H=46, L=66]
Item-Item3D-24: [W=6, H=76, L=74]
Item-Item3D-25: [W=1, H=18, L=15]
Item-Item3D-26: [W=6, H=58, L=55]
Item-Item3D-27: [W=9, H=28, L=61]
Item-Item3D-28: [W=20, H=4, L=98]
Item-Item3D-29: [W=100, H=95, L=28]
Item-Item3D-30: [W=59, H=64, L=9]
Item-Item3D-31: [W=16, H=93, L=31]
Item-Item3D-32: [W=22, H=52, L=13]
Item-Item3D-33: [W=98, H=47, L=54]
Item-Item3D-34: [W=77, H=9, L=9]
Item-Item3D-35: [W=24, H=40, L=39]
Item-Item3D-36: [W=37, H=85, L=96]
Item-Item3D-37: [W=76, H=59, L=24]
Item-Item3D-38: [W=69, H=96, L=84]
Item-Item3D-39: [W=22, H=78, L=45]
Item-Item3D-40: [W=32, H=16, L=84]
Item-Item3D-41: [W=57, H=87, L=76]
Item-Item3D-42: [W=100, H=4, L=38]
Item-Item3D-43: [W=34, H=87, L=82]
Item-Item3D-44: [W=65, H=16, L=50]
Item-Item3D-45: [W=58, H=35, L=49]
Item-Item3D-46: [W=18, H=23, L=50]
Item-Item3D-47: [W=93, H=66, L=89]
Item-Item3D-48: [W=21, H=43, L=10]
Item-Item3D-49: [W=4, H=16, L=21]
Item-Item3D-50: [W=99, H=32, L=72]
Item-Item3D-51: [W=39, H=8, L=28]
Item-Item3D-52: [W=55, H=41, L=47]
Item-Item3D-53: [W=37, H=34, L=28]
Item-Item3D-54: [W=58, H=65, L=22]
Item-Item3D-55: [W=81, H=24, L=38]
Item-Item3D-56: [W=69, H=55, L=55]
Item-Item3D-57: [W=93, H=93, L=45]
Item-Item3D-58: [W=10, H=36, L=100]
Item-Item3D-59: [W=41, H=94, L=22]
Item-Item3D-60: [W=65, H=13, L=60]
Item-Item3D-61: [W=74, H=33, L=80]
Item-Item3D-62: [W=63, H=23, L=95]
Item-Item3D-63: [W=18, H=66, L=85]
Item-Item3D-64: [W=77, H=31, L=81]
Item-Item3D-65: [W=79, H=91, L=90]
Item-Item3D-66: [W=13, H=74, L=36]
Item-Item3D-67: [W=58, H=81, L=90]
Item-Item3D-68: [W=94, H=74, L=71]
Item-Item3D-69: [W=38, H=26, L=10]
Item-Item3D-70: [W=97, H=40, L=58]
Item-Item3D-71: [W=43, H=94, L=24]
Item-Item3D-72: [W=11, H=18, L=68]
Item-Item3D-73: [W=56, H=83, L=20]
Item-Item3D-74: [W=69, H=34, L=66]
Item-Item3D-75: [W=61, H=41, L=88]
Item-Item3D-76: [W=93, H=81, L=7]
Item-Item3D-77: [W=49, H=13, L=64]
Item-Item3D-78: [W=37, H=17, L=75]
Item-Item3D-79: [W=83, H=65, L=5]
Item-Item3D-80: [W=82, H=62, L=27]
Item-Item3D-81: [W=45, H=88, L=37]
Item-Item3D-82: [W=40, H=68, L=4]
Item-Item3D-83: [W=10, H=4, L=68]
Item-Item3D-84: [W=39, H=88, L=75]
Item-Item3D-85: [W=90, H=53, L=5]
Item-Item3D-86: [W=23, H=98, L=77]
Item-Item3D-87: [W=87, H=86, L=38]
Item-Item3D-88: [W=99, H=39, L=54]
Item-Item3D-89: [W=42, H=88, L=89]
Item-Item3D-90: [W=55, H=45, L=15]
Item-Item3D-91: [W=98, H=95, L=25]
Item-Item3D-92: [W=43, H=29, L=50]
Item-Item3D-93: [W=56, H=91, L=70]
Item-Item3D-94: [W=51, H=95, L=62]
Item-Item3D-95: [W=83, H=14, L=34]
Item-Item3D-96: [W=96, H=50, L=35]
Item-Item3D-97: [W=35, H=79, L=46]
Item-Item3D-98: [W=21, H=15, L=68]
Item-Item3D-99: [W=37, H=39, L=71]
Item-Item3D-100: [W=16, H=37, L=46]
Item-Item3D-101: [W=31, H=56, L=16]
Item-Item3D-102: [W=99, H=88, L=17]
Item-Item3D-103: [W=13, H=96, L=83]
Item-Item3D-104: [W=9, H=39, L=10]
Item-Item3D-105: [W=81, H=32, L=8]
Item-Item3D-106: [W=24, H=47, L=30]
Item-Item3D-107: [W=36, H=92, L=20]
Item-Item3D-108: [W=92, H=46, L=71]
Item-Item3D-109: [W=31, H=77, L=51]
Item-Item3D-110: [W=97, H=78, L=37]
Item-Item3D-111: [W=90, H=68, L=57]
Item-Item3D-112: [W=70, H=31, L=85]
Item-Item3D-113: [W=19, H=6, L=44]
Item-Item3D-114: [W=86, H=61, L=86]
Item-Item3D-115: [W=31, H=92, L=80]
Item-Item3D-116: [W=17, H=42, L=92]
Item-Item3D-117: [W=16, H=37, L=95]
Item-Item3D-118: [W=18, H=65, L=23]
Item-Item3D-119: [W=2, H=31, L=4]
Item-Item3D-120: [W=66, H=83, L=25]
Item-Item3D-121: [W=62, H=63, L=32]
Item-Item3D-122: [W=16, H=79, L=2]
Item-Item3D-123: [W=69, H=15, L=39]
Item-Item3D-124: [W=98, H=62, L=70]
Item-Item3D-125: [W=72, H=52, L=40]
Item-Item3D-126: [W=74, H=65, L=68]
Item-Item3D-127: [W=15, H=64, L=25]
Item-Item3D-128: [W=71, H=84, L=24]
Item-Item3D-129: [W=58, H=97, L=51]
Item-Item3D-130: [W=29, H=67, L=55]
Item-Item3D-131: [W=32, H=11, L=21]
Item-Item3D-132: [W=82, H=97, L=49]
Item-Item3D-133: [W=33, H=52, L=66]
Item-Item3D-134: [W=68, H=10, L=89]
Item-Item3D-135: [W=38, H=7, L=100]
Item-Item3D-136: [W=95, H=62, L=65]
Item-Item3D-137: [W=43, H=44, L=52]
Item-Item3D-138: [W=74, H=97, L=76]
Item-Item3D-139: [W=30, H=100, L=51]
Item-Item3D-140: [W=22, H=19, L=33]
Item-Item3D-141: [W=52, H=58, L=93]
Item-Item3D-142: [W=27, H=60, L=47]
Item-Item3D-143: [W=74, H=88, L=38]
Item-Item3D-144: [W=40, H=66, L=76]
Item-Item3D-145: [W=54, H=40, L=2]
Item-Item3D-146: [W=17, H=71, L=70]
Item-Item3D-147: [W=91, H=28, L=4]
Item-Item3D-148: [W=18, H=27, L=19]
Item-Item3D-149: [W=9, H=13, L=88]
Item-Item3D-150: [W=97, H=39, L=53]

Test 3 (Type 8, n=150)
Item-Item3D-1: [W=20, H=3, L=38]
Item-Item3D-2: [W=34, H=96, L=15]
Item-Item3D-3: [W=22, H=42, L=76]
Item-Item3D-4: [W=93, H=74, L=26]
Item-Item3D-5: [W=17, H=86, L=48]
Item-Item3D-6: [W=22, H=85, L=55]
Item-Item3D-7: [W=58, H=24, L=76]
Item-Item3D-8: [W=34, H=40, L=81]
Item-Item3D-9: [W=18, H=8, L=94]
Item-Item3D-10: [W=56, H=26, L=63]
Item-Item3D-11: [W=28, H=31, L=37]
Item-Item3D-12: [W=71, H=62, L=51]
Item-Item3D-13: [W=3, H=37, L=65]
Item-Item3D-14: [W=40, H=85, L=55]
Item-Item3D-15: [W=96, H=95, L=33]
Item-Item3D-16: [W=52, H=52, L=4]
Item-Item3D-17: [W=53, H=11, L=82]
Item-Item3D-18: [W=57, H=71, L=5]
Item-Item3D-19: [W=23, H=94, L=51]
Item-Item3D-20: [W=70, H=22, L=90]
Item-Item3D-21: [W=43, H=29, L=56]
Item-Item3D-22: [W=31, H=4, L=7]
Item-Item3D-23: [W=64, H=41, L=74]
Item-Item3D-24: [W=87, H=17, L=5]
Item-Item3D-25: [W=95, H=52, L=2]
Item-Item3D-26: [W=81, H=90, L=98]
Item-Item3D-27: [W=77, H=32, L=7]
Item-Item3D-28: [W=86, H=6, L=60]
Item-Item3D-29: [W=69, H=87, L=31]
Item-Item3D-30: [W=28, H=34, L=84]
Item-Item3D-31: [W=28, H=74, L=76]
Item-Item3D-32: [W=92, H=72, L=3]
Item-Item3D-33: [W=70, H=15, L=11]
Item-Item3D-34: [W=88, H=53, L=85]
Item-Item3D-35: [W=81, H=38, L=54]
Item-Item3D-36: [W=83, H=88, L=36]
Item-Item3D-37: [W=51, H=80, L=19]
Item-Item3D-38: [W=24, H=99, L=76]
Item-Item3D-39: [W=44, H=97, L=14]
Item-Item3D-40: [W=98, H=22, L=64]
Item-Item3D-41: [W=16, H=95, L=53]
Item-Item3D-42: [W=29, H=51, L=52]
Item-Item3D-43: [W=92, H=20, L=20]
Item-Item3D-44: [W=94, H=17, L=14]
Item-Item3D-45: [W=23, H=53, L=42]
Item-Item3D-46: [W=34, H=47, L=22]
Item-Item3D-47: [W=63, H=41, L=56]
Item-Item3D-48: [W=54, H=58, L=99]
Item-Item3D-49: [W=94, H=81, L=69]
Item-Item3D-50: [W=43, H=95, L=19]
Item-Item3D-51: [W=73, H=18, L=11]
Item-Item3D-52: [W=60, H=89, L=82]
Item-Item3D-53: [W=61, H=31, L=13]
Item-Item3D-54: [W=48, H=81, L=79]
Item-Item3D-55: [W=92, H=22, L=99]
Item-Item3D-56: [W=13, H=53, L=88]
Item-Item3D-57: [W=9, H=45, L=75]
Item-Item3D-58: [W=53, H=23, L=37]
Item-Item3D-59: [W=38, H=69, L=55]
Item-Item3D-60: [W=41, H=87, L=40]
Item-Item3D-61: [W=6, H=95, L=2]
Item-Item3D-62: [W=41, H=61, L=22]
Item-Item3D-63: [W=45, H=35, L=46]
Item-Item3D-64: [W=5, H=48, L=60]
Item-Item3D-65: [W=72, H=86, L=56]
Item-Item3D-66: [W=44, H=79, L=73]
Item-Item3D-67: [W=57, H=29, L=82]
Item-Item3D-68: [W=85, H=19, L=2]
Item-Item3D-69: [W=30, H=73, L=25]
Item-Item3D-70: [W=42, H=66, L=82]
Item-Item3D-71: [W=4, H=93, L=53]
Item-Item3D-72: [W=81, H=17, L=50]
Item-Item3D-73: [W=65, H=5, L=79]
Item-Item3D-74: [W=27, H=60, L=63]
Item-Item3D-75: [W=72, H=88, L=99]
Item-Item3D-76: [W=7, H=90, L=98]
Item-Item3D-77: [W=56, H=91, L=1]
Item-Item3D-78: [W=12, H=30, L=56]
Item-Item3D-79: [W=53, H=33, L=28]
Item-Item3D-80: [W=76, H=26, L=45]
Item-Item3D-81: [W=48, H=33, L=66]
Item-Item3D-82: [W=80, H=14, L=82]
Item-Item3D-83: [W=5, H=92, L=86]
Item-Item3D-84: [W=17, H=75, L=86]
Item-Item3D-85: [W=33, H=77, L=99]
Item-Item3D-86: [W=23, H=62, L=46]
Item-Item3D-87: [W=30, H=52, L=79]
Item-Item3D-88: [W=73, H=58, L=31]
Item-Item3D-89: [W=93, H=58, L=100]
Item-Item3D-90: [W=80, H=78, L=96]
Item-Item3D-91: [W=23, H=71, L=85]
Item-Item3D-92: [W=17, H=93, L=42]
Item-Item3D-93: [W=62, H=30, L=72]
Item-Item3D-94: [W=36, H=15, L=35]
Item-Item3D-95: [W=65, H=69, L=70]
Item-Item3D-96: [W=43, H=54, L=76]
Item-Item3D-97: [W=55, H=56, L=95]
Item-Item3D-98: [W=74, H=1, L=17]
Item-Item3D-99: [W=72, H=17, L=95]
Item-Item3D-100: [W=7, H=58, L=38]
Item-Item3D-101: [W=47, H=16, L=70]
Item-Item3D-102: [W=6, H=36, L=20]
Item-Item3D-103: [W=1, H=4, L=37]
Item-Item3D-104: [W=52, H=42, L=90]
Item-Item3D-105: [W=45, H=21, L=98]
Item-Item3D-106: [W=5, H=32, L=53]
Item-Item3D-107: [W=78, H=27, L=100]
Item-Item3D-108: [W=88, H=40, L=42]
Item-Item3D-109: [W=73, H=19, L=70]
Item-Item3D-110: [W=67, H=82, L=90]
Item-Item3D-111: [W=93, H=64, L=20]
Item-Item3D-112: [W=33, H=18, L=7]
Item-Item3D-113: [W=89, H=85, L=91]
Item-Item3D-114: [W=1, H=55, L=26]
Item-Item3D-115: [W=87, H=72, L=89]
Item-Item3D-116: [W=64, H=75, L=72]
Item-Item3D-117: [W=61, H=69, L=26]
Item-Item3D-118: [W=30, H=11, L=51]
Item-Item3D-119: [W=17, H=40, L=98]
Item-Item3D-120: [W=87, H=51, L=99]
Item-Item3D-121: [W=85, H=32, L=69]
Item-Item3D-122: [W=89, H=95, L=39]
Item-Item3D-123: [W=57, H=90, L=35]
Item-Item3D-124: [W=26, H=40, L=26]
Item-Item3D-125: [W=56, H=85, L=2]
Item-Item3D-126: [W=73, H=80, L=17]
Item-Item3D-127: [W=59, H=100, L=85]
Item-Item3D-128: [W=74, H=96, L=44]
Item-Item3D-129: [W=57, H=70, L=98]
Item-Item3D-130: [W=13, H=16, L=25]
Item-Item3D-131: [W=35, H=37, L=23]
Item-Item3D-132: [W=34, H=54, L=26]
Item-Item3D-133: [W=82, H=99, L=70]
Item-Item3D-134: [W=31, H=95, L=88]
Item-Item3D-135: [W=7, H=60, L=15]
Item-Item3D-136: [W=11, H=17, L=41]
Item-Item3D-137: [W=89, H=83, L=80]
Item-Item3D-138: [W=52, H=92, L=29]
Item-Item3D-139: [W=66, H=29, L=18]
Item-Item3D-140: [W=21, H=8, L=33]
Item-Item3D-141: [W=31, H=88, L=40]
Item-Item3D-142: [W=25, H=39, L=63]
Item-Item3D-143: [W=16, H=82, L=8]
Item-Item3D-144: [W=44, H=12, L=28]
Item-Item3D-145: [W=84, H=75, L=54]
Item-Item3D-146: [W=74, H=78, L=31]
Item-Item3D-147: [W=42, H=38, L=33]
Item-Item3D-148: [W=26, H=1, L=70]
Item-Item3D-149: [W=9, H=34, L=69]
Item-Item3D-150: [W=16, H=80, L=20]

Test 4 (Type 8, n=150)
Item-Item3D-1: [W=26, H=42, L=37]
Item-Item3D-2: [W=42, H=83, L=24]
Item-Item3D-3: [W=66, H=97, L=54]
Item-Item3D-4: [W=57, H=57, L=23]
Item-Item3D-5: [W=20, H=87, L=68]
Item-Item3D-6: [W=52, H=17, L=9]
Item-Item3D-7: [W=96, H=24, L=76]
Item-Item3D-8: [W=24, H=40, L=97]
Item-Item3D-9: [W=75, H=68, L=98]
Item-Item3D-10: [W=65, H=92, L=96]
Item-Item3D-11: [W=31, H=32, L=7]
Item-Item3D-12: [W=22, H=83, L=27]
Item-Item3D-13: [W=34, H=61, L=41]
Item-Item3D-14: [W=90, H=29, L=92]
Item-Item3D-15: [W=42, H=40, L=76]
Item-Item3D-16: [W=53, H=1, L=84]
Item-Item3D-17: [W=43, H=15, L=42]
Item-Item3D-18: [W=43, H=93, L=26]
Item-Item3D-19: [W=55, H=79, L=72]
Item-Item3D-20: [W=12, H=87, L=55]
Item-Item3D-21: [W=58, H=82, L=32]
Item-Item3D-22: [W=81, H=84, L=97]
Item-Item3D-23: [W=21, H=12, L=93]
Item-Item3D-24: [W=20, H=65, L=60]
Item-Item3D-25: [W=52, H=54, L=5]
Item-Item3D-26: [W=83, H=69, L=81]
Item-Item3D-27: [W=29, H=15, L=74]
Item-Item3D-28: [W=86, H=33, L=82]
Item-Item3D-29: [W=43, H=71, L=32]
Item-Item3D-30: [W=34, H=29, L=47]
Item-Item3D-31: [W=68, H=71, L=29]
Item-Item3D-32: [W=13, H=65, L=39]
Item-Item3D-33: [W=43, H=53, L=67]
Item-Item3D-34: [W=32, H=87, L=57]
Item-Item3D-35: [W=44, H=80, L=4]
Item-Item3D-36: [W=63, H=65, L=71]
Item-Item3D-37: [W=19, H=28, L=51]
Item-Item3D-38: [W=68, H=82, L=57]
Item-Item3D-39: [W=31, H=91, L=57]
Item-Item3D-40: [W=65, H=11, L=95]
Item-Item3D-41: [W=1, H=92, L=49]
Item-Item3D-42: [W=65, H=42, L=55]
Item-Item3D-43: [W=78, H=65, L=68]
Item-Item3D-44: [W=37, H=99, L=13]
Item-Item3D-45: [W=24, H=5, L=68]
Item-Item3D-46: [W=49, H=77, L=83]
Item-Item3D-47: [W=15, H=33, L=12]
Item-Item3D-48: [W=80, H=80, L=29]
Item-Item3D-49: [W=16, H=49, L=14]
Item-Item3D-50: [W=46, H=44, L=54]
Item-Item3D-51: [W=68, H=30, L=78]
Item-Item3D-52: [W=96, H=42, L=59]
Item-Item3D-53: [W=72, H=63, L=48]
Item-Item3D-54: [W=20, H=54, L=97]
Item-Item3D-55: [W=84, H=34, L=10]
Item-Item3D-56: [W=95, H=40, L=94]
Item-Item3D-57: [W=92, H=41, L=46]
Item-Item3D-58: [W=40, H=56, L=21]
Item-Item3D-59: [W=80, H=44, L=47]
Item-Item3D-60: [W=10, H=53, L=22]
Item-Item3D-61: [W=94, H=42, L=99]
Item-Item3D-62: [W=56, H=44, L=50]
Item-Item3D-63: [W=43, H=29, L=41]
Item-Item3D-64: [W=62, H=78, L=29]
Item-Item3D-65: [W=11, H=90, L=29]
Item-Item3D-66: [W=55, H=30, L=55]
Item-Item3D-67: [W=76, H=46, L=97]
Item-Item3D-68: [W=89, H=54, L=51]
Item-Item3D-69: [W=91, H=91, L=77]
Item-Item3D-70: [W=42, H=69, L=23]
Item-Item3D-71: [W=41, H=2, L=83]
Item-Item3D-72: [W=100, H=45, L=42]
Item-Item3D-73: [W=74, H=24, L=95]
Item-Item3D-74: [W=35, H=20, L=17]
Item-Item3D-75: [W=28, H=17, L=16]
Item-Item3D-76: [W=21, H=64, L=82]
Item-Item3D-77: [W=47, H=5, L=50]
Item-Item3D-78: [W=54, H=78, L=74]
Item-Item3D-79: [W=66, H=28, L=64]
Item-Item3D-80: [W=5, H=86, L=75]
Item-Item3D-81: [W=18, H=28, L=20]
Item-Item3D-82: [W=21, H=60, L=76]
Item-Item3D-83: [W=73, H=60, L=54]
Item-Item3D-84: [W=29, H=65, L=14]
Item-Item3D-85: [W=98, H=95, L=24]
Item-Item3D-86: [W=98, H=1, L=37]
Item-Item3D-87: [W=15, H=61, L=50]
Item-Item3D-88: [W=50, H=56, L=47]
Item-Item3D-89: [W=92, H=14, L=64]
Item-Item3D-90: [W=9, H=92, L=78]
Item-Item3D-91: [W=45, H=38, L=65]
Item-Item3D-92: [W=93, H=92, L=95]
Item-Item3D-93: [W=43, H=3, L=86]
Item-Item3D-94: [W=89, H=21, L=69]
Item-Item3D-95: [W=97, H=49, L=19]
Item-Item3D-96: [W=25, H=35, L=38]
Item-Item3D-97: [W=50, H=29, L=10]
Item-Item3D-98: [W=73, H=78, L=61]
Item-Item3D-99: [W=8, H=50, L=19]
Item-Item3D-100: [W=12, H=89, L=19]
Item-Item3D-101: [W=32, H=86, L=79]
Item-Item3D-102: [W=61, H=74, L=59]
Item-Item3D-103: [W=57, H=61, L=31]
Item-Item3D-104: [W=14, H=90, L=32]
Item-Item3D-105: [W=81, H=94, L=40]
Item-Item3D-106: [W=29, H=28, L=23]
Item-Item3D-107: [W=19, H=12, L=11]
Item-Item3D-108: [W=19, H=1, L=27]
Item-Item3D-109: [W=45, H=38, L=9]
Item-Item3D-110: [W=82, H=46, L=59]
Item-Item3D-111: [W=95, H=54, L=10]
Item-Item3D-112: [W=34, H=54, L=6]
Item-Item3D-113: [W=65, H=2, L=99]
Item-Item3D-114: [W=3, H=22, L=33]
Item-Item3D-115: [W=48, H=95, L=88]
Item-Item3D-116: [W=91, H=63, L=99]
Item-Item3D-117: [W=78, H=54, L=29]
Item-Item3D-118: [W=100, H=98, L=17]
Item-Item3D-119: [W=55, H=18, L=55]
Item-Item3D-120: [W=77, H=37, L=59]
Item-Item3D-121: [W=5, H=19, L=22]
Item-Item3D-122: [W=88, H=64, L=64]
Item-Item3D-123: [W=64, H=30, L=100]
Item-Item3D-124: [W=44, H=78, L=70]
Item-Item3D-125: [W=2, H=62, L=24]
Item-Item3D-126: [W=92, H=60, L=47]
Item-Item3D-127: [W=75, H=41, L=41]
Item-Item3D-128: [W=68, H=64, L=33]
Item-Item3D-129: [W=61, H=21, L=15]
Item-Item3D-130: [W=64, H=49, L=92]
Item-Item3D-131: [W=37, H=37, L=37]
Item-Item3D-132: [W=83, H=69, L=68]
Item-Item3D-133: [W=14, H=15, L=19]
Item-Item3D-134: [W=9, H=71, L=94]
Item-Item3D-135: [W=75, H=92, L=88]
Item-Item3D-136: [W=90, H=2, L=3]
Item-Item3D-137: [W=90, H=36, L=50]
Item-Item3D-138: [W=12, H=35, L=25]
Item-Item3D-139: [W=13, H=39, L=90]
Item-Item3D-140: [W=90, H=70, L=38]
Item-Item3D-141: [W=55, H=74, L=58]
Item-Item3D-142: [W=11, H=83, L=49]
Item-Item3D-143: [W=81, H=91, L=10]
Item-Item3D-144: [W=57, H=3, L=9]
Item-Item3D-145: [W=62, H=47, L=4]
Item-Item3D-146: [W=50, H=90, L=29]
Item-Item3D-147: [W=70, H=86, L=85]
Item-Item3D-148: [W=45, H=48, L=7]
Item-Item3D-149: [W=8, H=84, L=63]
Item-Item3D-150: [W=2, H=27, L=16]

Test 5 (Type 8, n=150)
Item-Item3D-1: [W=39, H=50, L=13]
Item-Item3D-2: [W=16, H=43, L=92]
Item-Item3D-3: [W=34, H=10, L=8]
Item-Item3D-4: [W=2, H=21, L=84]
Item-Item3D-5: [W=21, H=31, L=20]
Item-Item3D-6: [W=91, H=59, L=58]
Item-Item3D-7: [W=46, H=71, L=67]
Item-Item3D-8: [W=22, H=97, L=7]
Item-Item3D-9: [W=65, H=6, L=79]
Item-Item3D-10: [W=89, H=81, L=4]
Item-Item3D-11: [W=91, H=35, L=71]
Item-Item3D-12: [W=17, H=36, L=11]
Item-Item3D-13: [W=8, H=89, L=95]
Item-Item3D-14: [W=64, H=27, L=69]
Item-Item3D-15: [W=41, H=30, L=42]
Item-Item3D-16: [W=51, H=34, L=14]
Item-Item3D-17: [W=88, H=3, L=32]
Item-Item3D-18: [W=4, H=29, L=84]
Item-Item3D-19: [W=58, H=23, L=76]
Item-Item3D-20: [W=28, H=81, L=38]
Item-Item3D-21: [W=52, H=94, L=63]
Item-Item3D-22: [W=55, H=24, L=89]
Item-Item3D-23: [W=36, H=75, L=30]
Item-Item3D-24: [W=85, H=72, L=100]
Item-Item3D-25: [W=4, H=72, L=58]
Item-Item3D-26: [W=93, H=79, L=2]
Item-Item3D-27: [W=52, H=89, L=70]
Item-Item3D-28: [W=1, H=99, L=31]
Item-Item3D-29: [W=12, H=10, L=96]
Item-Item3D-30: [W=60, H=77, L=44]
Item-Item3D-31: [W=34, H=21, L=30]
Item-Item3D-32: [W=83, H=19, L=76]
Item-Item3D-33: [W=92, H=83, L=62]
Item-Item3D-34: [W=80, H=86, L=56]
Item-Item3D-35: [W=87, H=23, L=7]
Item-Item3D-36: [W=27, H=51, L=82]
Item-Item3D-37: [W=40, H=14, L=14]
Item-Item3D-38: [W=78, H=33, L=19]
Item-Item3D-39: [W=56, H=66, L=70]
Item-Item3D-40: [W=42, H=89, L=43]
Item-Item3D-41: [W=50, H=12, L=58]
Item-Item3D-42: [W=66, H=75, L=45]
Item-Item3D-43: [W=36, H=11, L=54]
Item-Item3D-44: [W=56, H=19, L=98]
Item-Item3D-45: [W=15, H=37, L=69]
Item-Item3D-46: [W=100, H=54, L=94]
Item-Item3D-47: [W=84, H=61, L=8]
Item-Item3D-48: [W=82, H=75, L=5]
Item-Item3D-49: [W=12, H=57, L=59]
Item-Item3D-50: [W=100, H=7, L=62]
Item-Item3D-51: [W=88, H=58, L=71]
Item-Item3D-52: [W=73, H=10, L=71]
Item-Item3D-53: [W=14, H=51, L=76]
Item-Item3D-54: [W=82, H=63, L=84]
Item-Item3D-55: [W=2, H=76, L=91]
Item-Item3D-56: [W=38, H=50, L=27]
Item-Item3D-57: [W=30, H=78, L=20]
Item-Item3D-58: [W=2, H=97, L=67]
Item-Item3D-59: [W=75, H=89, L=54]
Item-Item3D-60: [W=83, H=26, L=31]
Item-Item3D-61: [W=24, H=29, L=12]
Item-Item3D-62: [W=11, H=18, L=36]
Item-Item3D-63: [W=30, H=9, L=70]
Item-Item3D-64: [W=31, H=54, L=76]
Item-Item3D-65: [W=50, H=66, L=36]
Item-Item3D-66: [W=27, H=74, L=36]
Item-Item3D-67: [W=97, H=7, L=47]
Item-Item3D-68: [W=43, H=81, L=5]
Item-Item3D-69: [W=37, H=54, L=81]
Item-Item3D-70: [W=100, H=59, L=89]
Item-Item3D-71: [W=60, H=88, L=76]
Item-Item3D-72: [W=81, H=3, L=70]
Item-Item3D-73: [W=54, H=63, L=70]
Item-Item3D-74: [W=94, H=28, L=1]
Item-Item3D-75: [W=12, H=84, L=77]
Item-Item3D-76: [W=49, H=38, L=75]
